Strategy report
Symbol: /NQ:XCME
Work Time: 8/13/23, 5:00 PM - 8/18/23, 3:58 PM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;A(15101.75|15117.75|15101.75|15117|15108.82|211);Buy to Open;0;0.0;$1.00;8/13/23, 5:00 PM;;$0.00;0.0;
2;A(15117.25|15125.25|15115.75|15125.25|15120.41|210);Buy to Open;0;0.0;$1.00;8/13/23, 5:00 PM;;$0.00;0.0;
3;A(15125.25|15133.5|15124.5|15132.25|15129.89|225);Buy to Open;0;0.0;$1.00;8/13/23, 5:01 PM;;$0.00;0.0;
4;A(15130.75|15132|15125.75|15128|15128.32|225);Buy to Open;0;0.0;$1.00;8/13/23, 5:01 PM;;$0.00;0.0;
5;A(15128|15131|15125|15130.25|15128.76|250);Buy to Open;0;0.0;$1.00;8/13/23, 5:02 PM;;$0.00;0.0;
6;A(15130.25|15130.25|15124.75|15126.5|15126.58|226);Buy to Open;0;0.0;$1.00;8/13/23, 5:03 PM;;$0.00;0.0;
7;A(15126.5|15127.25|15120|15121|15123.81|265);Buy to Open;0;0.0;$1.00;8/13/23, 5:05 PM;;$0.00;0.0;
8;A(15121|15126|15120|15122.75|15122.65|224);Buy to Open;0;0.0;$1.00;8/13/23, 5:07 PM;;$0.00;0.0;
9;A(15122.75|15128|15122|15125.25|15125.01|211);Buy to Open;0;0.0;$1.00;8/13/23, 5:10 PM;;$0.00;0.0;
10;A(15125|15132.75|15125|15132.5|15129.37|228);Buy to Open;0;0.0;$1.00;8/13/23, 5:13 PM;;$0.00;0.0;
11;A(15132.75|15136.75|15131|15136.75|15134.39|212);Buy to Open;0;0.0;$1.00;8/13/23, 5:14 PM;;$0.00;0.0;
12;A(15137|15138.75|15134|15138|15136.67|212);Buy to Open;0;0.0;$1.00;8/13/23, 5:16 PM;;$0.00;0.0;
13;A(15138|15140|15135.25|15135.25|15138.02|208);Buy to Open;0;0.0;$1.00;8/13/23, 5:18 PM;;$0.00;0.0;
14;A(15135.25|15137.5|15135|15137.5|15135.4|281);Buy to Open;0;0.0;$1.00;8/13/23, 5:19 PM;;$0.00;0.0;
15;A(15137.5|15140.75|15135|15139.5|15137.45|233);Buy to Open;0;0.0;$1.00;8/13/23, 5:21 PM;;$0.00;0.0;
16;A(15139.5|15146.25|15139.25|15145.5|15142.69|222);Buy to Open;0;0.0;$1.00;8/13/23, 5:23 PM;;$0.00;0.0;
17;A(15145|15146.25|15140.75|15141.5|15143.65|213);Buy to Open;0;0.0;$1.00;8/13/23, 5:24 PM;;$0.00;0.0;
18;A(15141.25|15146|15141|15143.75|15143.88|220);Buy to Open;0;0.0;$1.00;8/13/23, 5:26 PM;;$0.00;0.0;
19;A(15143.5|15145.25|15138.75|15140.5|15140.94|225);Buy to Open;0;0.0;$1.00;8/13/23, 5:30 PM;;$0.00;0.0;
20;A(15139.5|15141.5|15137.75|15137.75|15139.56|243);Buy to Open;0;0.0;$1.00;8/13/23, 5:34 PM;;$0.00;0.0;
21;A(15137.75|15143|15136.5|15137.25|15139.7|230);Buy to Open;0;0.0;$1.00;8/13/23, 5:42 PM;;$0.00;0.0;
22;A(15137.25|15139|15135.5|15137|15137.21|229);Buy to Open;0;0.0;$1.00;8/13/23, 5:47 PM;;$0.00;0.0;
23;A(15137|15139.25|15135|15138.75|15136.02|278);Buy to Open;0;0.0;$1.00;8/13/23, 5:53 PM;;$0.00;0.0;
24;A(15138.25|15142|15136|15136|15139.19|210);Buy to Open;0;0.0;$1.00;8/13/23, 5:55 PM;;$0.00;0.0;
25;A(15136|15136.5|15132.75|15133.75|15134.36|297);Buy to Open;0;0.0;$1.00;8/13/23, 6:00 PM;;$0.00;0.0;
26;A(15133.75|15137.5|15130.75|15131.75|15133.97|201);Buy to Open;0;0.0;$1.00;8/13/23, 6:00 PM;;$0.00;0.0;
27;A(15132|15134.5|15130.25|15134.25|15132.68|208);Buy to Open;0;0.0;$1.00;8/13/23, 6:03 PM;;$0.00;0.0;
28;A(15134|15142.5|15133.75|15142|15137.6|211);Buy to Open;0;0.0;$1.00;8/13/23, 6:10 PM;;$0.00;0.0;
29;A(15142|15144.5|15138.75|15141.5|15141.62|219);Buy to Open;0;0.0;$1.00;8/13/23, 6:13 PM;;$0.00;0.0;
30;A(15141.5|15144|15138.5|15138.5|15141.81|213);Buy to Open;0;0.0;$1.00;8/13/23, 6:16 PM;;$0.00;0.0;
31;A(15138.75|15142.5|15136.5|15142.5|15139.3|211);Buy to Open;0;0.0;$1.00;8/13/23, 6:22 PM;;$0.00;0.0;
32;A(15142.5|15142.5|15136.75|15139|15138.76|208);Buy to Open;0;0.0;$1.00;8/13/23, 6:30 PM;;$0.00;0.0;
33;A(15138.75|15142.5|15135.5|15135.75|15139.46|215);Buy to Open;0;0.0;$1.00;8/13/23, 6:41 PM;;$0.00;0.0;
34;A(15135.5|15139.5|15135|15139.5|15137.01|204);Buy to Open;0;0.0;$1.00;8/13/23, 6:50 PM;;$0.00;0.0;
35;A(15139.5|15141.25|15136.25|15140|15139.03|209);Buy to Open;0;0.0;$1.00;8/13/23, 6:55 PM;;$0.00;0.0;
36;A(15140|15141|15135|15139|15137.75|205);Buy to Open;0;0.0;$1.00;8/13/23, 7:00 PM;;$0.00;0.0;
37;A(15138.75|15140.25|15136.25|15136.75|15138.47|212);Buy to Open;0;0.0;$1.00;8/13/23, 7:01 PM;;$0.00;0.0;
38;A(15136.25|15137.5|15130|15131.25|15132.71|249);Buy to Open;0;0.0;$1.00;8/13/23, 7:03 PM;;$0.00;0.0;
39;A(15131.25|15131.75|15130|15131.5|15130.39|241);Buy to Open;0;0.0;$1.00;8/13/23, 7:04 PM;;$0.00;0.0;
40;A(15131.25|15136.5|15130|15136|15131.97|243);Buy to Open;0;0.0;$1.00;8/13/23, 7:04 PM;;$0.00;0.0;
41;A(15136.25|15144.25|15135.75|15144.25|15140.74|213);Buy to Open;0;0.0;$1.00;8/13/23, 7:05 PM;;$0.00;0.0;
42;A(15144|15147.25|15141|15147.25|15144.18|218);Buy to Open;0;0.0;$1.00;8/13/23, 7:07 PM;;$0.00;0.0;
43;A(15147|15149|15145|15147.25|15147.43|206);Buy to Open;0;0.0;$1.00;8/13/23, 7:09 PM;;$0.00;0.0;
44;A(15147|15147.25|15141.75|15143.5|15145.35|212);Buy to Open;0;0.0;$1.00;8/13/23, 7:10 PM;;$0.00;0.0;
45;A(15143|15145.75|15139.25|15140.75|15142.12|206);Buy to Open;0;0.0;$1.00;8/13/23, 7:13 PM;;$0.00;0.0;
46;A(15140.75|15142.5|15136.5|15137.5|15138.82|223);Buy to Open;0;0.0;$1.00;8/13/23, 7:15 PM;;$0.00;0.0;
47;A(15137.5|15139.25|15132.75|15139.25|15135.84|217);Buy to Open;0;0.0;$1.00;8/13/23, 7:16 PM;;$0.00;0.0;
48;A(15139.25|15143|15137|15143|15139.98|224);Buy to Open;0;0.0;$1.00;8/13/23, 7:18 PM;;$0.00;0.0;
49;A(15143|15145.75|15141.25|15144|15143.27|213);Buy to Open;0;0.0;$1.00;8/13/23, 7:22 PM;;$0.00;0.0;
50;A(15144|15146.75|15143.75|15143.75|15145.06|221);Buy to Open;0;0.0;$1.00;8/13/23, 7:25 PM;;$0.00;0.0;
51;A(15143.75|15145.5|15138|15138|15141.4|208);Buy to Open;0;0.0;$1.00;8/13/23, 7:29 PM;;$0.00;0.0;
52;A(15138.5|15140|15134.5|15140|15137.41|212);Buy to Open;0;0.0;$1.00;8/13/23, 7:32 PM;;$0.00;0.0;
53;A(15140|15140|15132.5|15133.5|15134.55|216);Buy to Open;0;0.0;$1.00;8/13/23, 7:35 PM;;$0.00;0.0;
54;A(15133.5|15133.5|15130|15131.5|15131.13|225);Buy to Open;0;0.0;$1.00;8/13/23, 7:37 PM;;$0.00;0.0;
55;A(15130.75|15132.25|15126.75|15126.75|15129.94|240);Buy to Open;0;0.0;$1.00;8/13/23, 7:38 PM;;$0.00;0.0;
56;A(15126.75|15128.25|15125.75|15125.75|15126.76|208);Buy to Open;0;0.0;$1.00;8/13/23, 7:40 PM;;$0.00;0.0;
57;A(15125.5|15125.75|15122.25|15124.25|15124.3|220);Buy to Open;0;0.0;$1.00;8/13/23, 7:41 PM;;$0.00;0.0;
58;A(15124.25|15126.25|15122.25|15124|15124.49|220);Buy to Open;0;0.0;$1.00;8/13/23, 7:42 PM;;$0.00;0.0;
59;A(15123.75|15123.75|15115.75|15119.75|15119.33|208);Buy to Open;0;0.0;$1.00;8/13/23, 7:45 PM;;$0.00;0.0;
60;A(15119.25|15123.75|15118.25|15121|15121.23|218);Buy to Open;0;0.0;$1.00;8/13/23, 7:45 PM;;$0.00;0.0;
61;A(15121.25|15122|15117.25|15118.25|15119.59|211);Buy to Open;0;0.0;$1.00;8/13/23, 7:48 PM;;$0.00;0.0;
62;A(15118|15122.75|15116.75|15118.5|15120.05|204);Buy to Open;0;0.0;$1.00;8/13/23, 7:51 PM;;$0.00;0.0;
63;A(15118.25|15118.25|15113|15115|15115.4|207);Buy to Open;0;0.0;$1.00;8/13/23, 7:55 PM;;$0.00;0.0;
64;A(15115|15115|15110|15112|15111.56|208);Buy to Open;0;0.0;$1.00;8/13/23, 7:56 PM;;$0.00;0.0;
65;A(15112|15114.5|15109.75|15110.5|15111.75|214);Buy to Open;0;0.0;$1.00;8/13/23, 7:58 PM;;$0.00;0.0;
66;A(15110.25|15110.25|15107|15109.75|15108.66|216);Buy to Open;0;0.0;$1.00;8/13/23, 8:00 PM;;$0.00;0.0;
67;A(15109.75|15109.75|15105.75|15107.5|15107.7|210);Buy to Open;0;0.0;$1.00;8/13/23, 8:02 PM;;$0.00;0.0;
68;A(15107.5|15111.25|15106.25|15108.25|15108.85|205);Buy to Open;0;0.0;$1.00;8/13/23, 8:03 PM;;$0.00;0.0;
